what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1348100512162
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1348100512163
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1348100512164
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1348100512166
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1348100512167
os,sysinfo,,,"win32",1348100512171
arch,sysinfo,,,"x86",1348100512171
ws,sysinfo,,,"win32",1348100512171
locale,sysinfo,,,"en_US",1348100512171
processors,sysinfo,,,"2",1348100512171
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348100512171
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1348100512171
java.specification.name,sysinfo,,,"Java Platform API Specification",1348100512171
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348100512171
java.specification.version,sysinfo,,,"1.6",1348100512171
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1348100512171
java.version,sysinfo,,,"1.6.0_21",1348100512171
java.vm.info,sysinfo,,,"mixed mode, sharing",1348100512171
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1348100512171
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348100512171
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1348100512171
java.vm.specification.version,sysinfo,,,"1.0",1348100512171
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1348100512171
java.vm.version,sysinfo,,,"17.0-b17",1348100512171
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1348100521859
