what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1347297292408
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1347297294018
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347297302221
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347297302221
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347297302315
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347297395548
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1347297398454
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347297404048
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347297423672
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1347297423688
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347297435032
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347297444360
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1347297444375
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347297452266
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347297518937
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1347297518952
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1347297523343
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347297536827
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347297536827
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347297536983
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347297623310
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.refresh",1347297632857
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1347297646591
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1347297646779
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1347297648904
