what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1349147095125
os,sysinfo,,,"win32",1349147095128
arch,sysinfo,,,"x86",1349147095128
ws,sysinfo,,,"win32",1349147095128
locale,sysinfo,,,"en_US",1349147095128
processors,sysinfo,,,"2",1349147095128
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349147095128
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1349147095128
java.specification.name,sysinfo,,,"Java Platform API Specification",1349147095128
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349147095128
java.specification.version,sysinfo,,,"1.6",1349147095128
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1349147095128
java.version,sysinfo,,,"1.6.0_31",1349147095128
java.vm.info,sysinfo,,,"mixed mode, sharing",1349147095128
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349147095128
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349147095128
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349147095128
java.vm.specification.version,sysinfo,,,"1.0",1349147095128
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1349147095128
java.vm.version,sysinfo,,,"20.6-b01",1349147095128
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1349147095161
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1349147095165
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1349147095276
started,bundle,org.eclipse.jdt.apt.core,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.core",1349147095407
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.200.v20090526-2130,"org.eclipse.jdt.apt.pluggable.core",1349147095720
