what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856912561
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856914092
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856915248
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1348856919998
started,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1348856921108
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1348856921998
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1348856925655
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856926670
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856929030
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856932592
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856933436
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856935686
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856936670
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856938779
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856939811
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1348856942967
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856944748
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856945358
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856949170
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.findReplace",1348856949186
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856951092
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1348856951701
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856952811
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856953592
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348856960295
