what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348247730188
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1348247730203
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348247736545
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348247764240
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348247772269
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348247777033
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1348247777048
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348247786639
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348247793794
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1348247793809
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348247804697
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348247809181
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1348247809196
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348247817366
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348247824458
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1348247824474
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348247835534
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348247840080
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.properties",1348247840095
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348247853733
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348247854076
started,bundle,org.eclipse.debug.ui,3.5.0.v20090603,"org.eclipse.debug.ui",1348247856935
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1348247857232
started,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1348247857263
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1348247859122
