what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1347636722754
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1347636749859
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1347636750145
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1347636750309
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1347636756156
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1347636763236
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347637016716
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347637129247
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347637142412
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347637695064
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347637740418
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347638313181
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347638316840
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347639074862
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347639076572
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347639077676
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1347639078273
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ant",1347639103617
stopped,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1347639103617
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1347639103617
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.tasks",1347639103617
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.java.ui",1347639103617
stopped,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1347639103619
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1347639103619
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1347639103619
