what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1349228991307
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1349228991307
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1349228991307
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1349228991307
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1349228991307
os,sysinfo,,,"win32",1349228991310
arch,sysinfo,,,"x86",1349228991310
ws,sysinfo,,,"win32",1349228991310
locale,sysinfo,,,"en_US",1349228991310
processors,sysinfo,,,"2",1349228991310
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349228991310
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1349228991310
java.specification.name,sysinfo,,,"Java Platform API Specification",1349228991310
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349228991310
java.specification.version,sysinfo,,,"1.6",1349228991310
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1349228991310
java.version,sysinfo,,,"1.6.0_21",1349228991310
java.vm.info,sysinfo,,,"mixed mode, sharing",1349228991310
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349228991310
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349228991310
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1349228991310
java.vm.specification.version,sysinfo,,,"1.0",1349228991310
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1349228991310
java.vm.version,sysinfo,,,"17.0-b17",1349228991310
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1349233803942
