what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348198675396
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348198729457
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348198956096
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1348198959133
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348198967055
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348198970863
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348198972045
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348198972184
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348198972184
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348198976463
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348198980930
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348198993344
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348198996793
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1348199008819
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348199013426
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1348199019304
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348199019584
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348199024313
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348199030138
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1348199031762
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348199033137
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1348199033180
closed,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348199033180
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348199037070
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348199037223
