what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1348586349734
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586353828
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586575656
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348586575750
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348586575875
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586582562
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586584562
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586620234
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586629937
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586633593
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586634937
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586639343
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586639484
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586640703
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586641765
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1348586646531
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348586647125
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586649312
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586660062
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348586664953
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586673125
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586677390
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586679015
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586679640
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348586682281
