what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1348587921875
opened,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348587941046
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348587941390
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348587957359
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588051750
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348588054312
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.smartEnter",1348588155640
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588222453
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588222469
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588222563
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588327894
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588334306
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588334306
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588334400
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588467429
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588468226
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588470557
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348588473763
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588488104
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588488104
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588488198
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588631521
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348588633850
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348588644869
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348588660531
