what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348015995894
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016006479
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016016535
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016063852
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016072288
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016073202
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016075185
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016189544
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016201263
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016207023
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348016208686
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348016210018
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016289060
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016347440
activated,view,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.PackageExplorer",1348016440209
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348016441615
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016455698
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016511031
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016518061
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016563504
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016579232
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016582024
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016583766
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016730278
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348016737551
