what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348196857862
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348196909628
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1348196911030
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348196916445
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1348196931535
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348196936985
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348196956015
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348196958687
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348196962978
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348196966036
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1348196966752
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348196980482
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348196981803
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348196983506
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1348196999826
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348197049147
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348197086440
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348197097860
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348197099048
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348197107443
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1348197110050
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348197154954
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348197157163
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348197158130
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1348197173759
